-0,-0.44069,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0.44069,-0,-0.44069,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0.44069,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0
-0,-0,0,-0,-0.44069,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0.44069,-0,-0.44069,-0,-0,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0.44069,-0,0,-0,-0,0,-0,-0,0,-0,-0
-0,-0,0,-0,-0,0,-0,-0.44069,-0,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0.44069,-0,-0.44069,-0,-0,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0.44069,-0,0,-0,-0,0,-0,-0
-0,-0,0,-0,-0,0,-0,-0,0,-0,-0.44069,-0,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.44069,-0,-0.44069,-0,-0,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.44069,-0,0,-0,-0
-0,-0,0,-0,-0,0,-0,-0,0,-0,-0,0,-0,-0.44069,-0
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.44069,-0,-0.44069
-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.44069,-0
